=== LSP Grids ===
Grid,Lookahead,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,2,XMM,,,,,,,,,,
7x7,2,XDFBnB,,,,,,,,,,
7x7,2,BiXDFBnB,,,,,,,,,,
7x7,2,XIDA,132,576,207,971,258,1488,1070,5976,,
7x7,2,BiXIDA,151,575,186,947,242,1354,815,4421,,
7x7,3,A*,,,,,,,,,,
7x7,3,XMM,,,,,,,,,,
7x7,3,XDFBnB,,,,,,,,,,
7x7,3,BiXDFBnB,,,,,,,,,,
7x7,3,XIDA,84,666,141,1099,168,1544,694,7271,,
7x7,3,BiXIDA,122,1719,156,2669,211,4008,792,15568,,
7x7,4,A*,,,,,,,,,,
7x7,4,XMM,,,,,,,,,,
7x7,4,XDFBnB,,,,,,,,,,
7x7,4,BiXDFBnB,,,,,,,,,,
7x7,4,XIDA,63,724,98,1261,132,2353,558,9139,,
7x7,4,BiXIDA,71,765,101,1238,135,2131,426,6816,,
7x8,1,A*,,,,,,,,,,
7x8,1,XMM,,,,,,,,,,
7x8,1,XDFBnB,,,,,,,,,,
7x8,1,BiXDFBnB,,,,,,,,,,
7x8,1,XIDA,497,1633,1435,5263,1553,5781,5201,19109,,
7x8,1,BiXIDA,1561,7291,4745,28233,2948,19640,11256,77486,,
7x8,2,A*,,,,,,,,,,
7x8,2,XMM,,,,,,,,,,
7x8,2,XDFBnB,,,,,,,,,,
7x8,2,BiXDFBnB,,,,,,,,,,
7x8,2,XIDA,239,1301,721,4390,758,5041,2551,16317,,
7x8,2,BiXIDA,273,1364,766,4320,756,4472,2125,13246,,
7x8,3,A*,,,,,,,,,,
7x8,3,XMM,,,,,,,,,,
