=== LSP Grids ===
Grid,Lookahead,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x9,4,XIDA,176,2749,561,7995,906,20558,839,19103,,
7x9,4,BiXIDA,229,2829,468,5871,1373,24958,1197,22076,,
8x8,1,A*,,,,,,,,,,
8x8,1,XMM,,,,,,,,,,
8x8,1,XDFBnB,,,,,,,,,,
8x8,1,BiXDFBnB,,,,,,,,,,
8x8,1,XIDA,939,3462,1632,6392,5264,20743,7364,33749,,
8x8,1,BiXIDA,1824,12766,3820,28486,10402,78951,15878,140063,,
8x8,2,A*,,,,,,,,,,
8x8,2,XMM,,,,,,,,,,
8x8,2,XDFBnB,,,,,,,,,,
8x8,2,BiXDFBnB,,,,,,,,,,
8x8,2,XIDA,504,2885,854,5648,2597,17144,3559,26481,,
8x8,2,BiXIDA,430,2490,1052,6469,2159,15357,4049,26699,,
8x8,3,A*,,,,,,,,,,
8x8,3,XMM,,,,,,,,,,
8x8,3,XDFBnB,,,,,,,,,,
8x8,3,BiXDFBnB,,,,,,,,,,
8x8,3,XIDA,286,2788,594,5598,1735,18762,2550,36267,,
8x8,3,BiXIDA,379,7320,903,15969,1816,45136,3554,92591,,
8x8,4,A*,,,,,,,,,,
8x8,4,XMM,,,,,,,,,,
8x8,4,XDFBnB,,,,,,,,,,
8x8,4,BiXDFBnB,,,,,,,,,,
8x8,4,XIDA,239,3263,460,7328,1340,22296,1878,45915,,
8x8,4,BiXIDA,218,3162,515,8094,1173,22790,2102,45358,,
