,,,20%,20%,16%,16%,12%,12%,8%,8%
,,,Expansions,Time [ms],Expansions,Time [ms],Expansions,Time [ms],Expansions,Time [ms]
Grid,Algorithm,Lookahead,,,,,,,,
7x8,XIDA,4,87,565,367,2252,4842,30694,19141,97817
7x8,BiXIDA,1,803,1386,6331,11139,46456,77306,195853,329230
7x8,BiXIDA,2,200,220,1656,1744,11534,13449,48569,47952
7x8,BiXIDA,3,137,771,1152,6138,8689,41313,32617,166207
7x8,BiXIDA,4,98,338,828,2604,5739,21730,24319,75847
8x8,XDFBnB,1,2362,1990,6523,6791,47120,40702,267656,260394
8x8,XDFBnB,2,1135,1825,3329,5772,23581,40638,128162,249194
8x8,XDFBnB,3,783,2483,2188,6472,15560,50491,88460,338147
8x8,XDFBnB,4,549,2993,1610,9566,11785,66547,64134,414802
8x8,BiXDFBnB,1,10622,17945,16947,36461,153637,278194,974951,1884064
8x8,BiXDFBnB,2,2707,2464,4226,4708,39372,44387,225468,237811
8x8,BiXDFBnB,3,1879,8591,3342,16001,29533,163459,159236,867782
8x8,BiXDFBnB,4,1364,2968,2200,8084,20218,69568,110018,318822
8x8,XIDA,1,2606,2514,8354,7571,54007,46914,293095,278335
8x8,XIDA,2,1253,2150,4307,8057,27337,46626,140372,263929
8x8,XIDA,3,868,2881,2796,8945,17929,56906,96926,349820
8x8,XIDA,4,619,3458,2115,12079,13724,77461,70251,472548
8x8,BiXIDA,1,16723,33755,21993,42910,193566,365303,959812,1849762
8x8,BiXIDA,2,3713,3747,5000,5709,48388,55888,222222,224766
8x8,BiXIDA,3,2643,13656,3833,19566,36336,203306,157927,849797
8x8,BiXIDA,4,1821,4483,2650,8882,24855,91393,108360,319050
