--- LSP Grids ---,,,,,,,,,,
Grid,Algorithm,Lookahead,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
,XDFBnB,1,"2,362","2,375","6,523","5,887","47,120","47,423","267,656","259,487"
,XDFBnB,2,"1,135","2,185","3,329","5,806","23,581","41,403","128,162","245,104"
,XDFBnB,3,783,"2,930","2,188","6,628","15,560","49,736","88,460","341,733"
,XDFBnB,4,549,"3,483","1,610","8,790","11,785","67,108","64,134","425,112"
,BiXDFBnB,-1,"5,100","4,755","8,506","7,389","78,488","79,982","434,507","377,366"
,BiXDFBnB,1,"10,622","21,289","16,947","32,887","153,637","311,427","974,951","1,899,567"
,BiXDFBnB,2,"2,707","2,934","4,226","4,721","39,372","45,644","225,468","237,870"
,BiXDFBnB,3,"1,879","10,118","3,342","16,683","29,533","161,614","159,236","908,018"
,BiXDFBnB,4,"1,364","3,500","2,200","7,454","20,218","70,032","110,018","324,462"
,XIDA*,-1,"2,606","2,466","8,354","7,799","54,007","51,321","293,095","285,846"
,XIDA*,1,"2,606","2,649","8,354","7,792","54,007","48,408","293,095","287,654"
,XIDA*,2,"1,253","2,530","4,307","8,093","27,337","48,971","140,372","270,683"
,XIDA*,3,868,"4,728","2,796","9,612","17,929","60,577","96,926","367,153"
,XIDA*,4,619,"4,646","2,115","14,072","13,724","80,287","70,251","472,883"
,BiXIDA*,-1,"7,161","6,413","10,038","9,156","96,701","92,484","428,435","381,166"
,BiXIDA*,1,"16,723","34,398","21,993","44,422","193,566","377,090","959,812","1,908,840"
,BiXIDA*,2,"3,713","4,456","5,000","5,754","48,388","58,671","222,222","234,111"
,BiXIDA*,3,"2,643","21,939","3,833","21,083","36,336","217,176","157,927","891,498"
,BiXIDA*,4,"1,821","5,463","2,650","10,229","24,855","91,776","108,360","328,182"
,,,,,,,,,,
--- Snake Grids ---,,,,,,,,,,
Grid,Algorithm,Lookahead,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XMM,-1,119,363,203,633,347,"1,201","1,119","3,995"
,XMM,1,119,351,203,634,347,"1,169","1,119","4,067"
,XMM,2,119,366,203,630,347,"1,153","1,119","4,021"
,XMM,3,119,365,203,704,347,"1,189","1,119","3,957"
,XMM,4,119,362,203,636,347,"1,128","1,119","4,062"
,XA*,-1,112,249,180,416,225,706,928,"2,758"
,XA*,1,112,244,180,418,225,686,928,"2,790"
,XA*,2,112,252,180,416,225,680,928,"2,774"
,XA*,3,112,250,180,469,225,696,928,"2,734"
,XA*,4,112,251,180,420,225,665,928,"2,785"
,BiXA*,-1,115,288,148,431,219,736,756,"2,416"
,BiXA*,1,419,"1,278",322,"1,465",543,"2,688","1,928","9,484"
,BiXA*,2,71,218,78,331,112,564,396,"1,812"
,BiXA*,3,61,605,70,943,103,"1,748",386,"5,694"
,BiXA*,4,33,247,49,434,70,849,207,"2,400"
,XDFBnB,-1,132,286,218,547,406,"1,017","1,120","3,072"
,XDFBnB,1,132,301,218,554,406,"1,025","1,120","4,575"
,XDFBnB,2,97,278,113,400,153,734,825,"3,082"
,XDFBnB,3,45,217,74,413,115,892,449,"3,429"
,XDFBnB,4,38,222,66,469,88,"1,076",387,"3,919"
,BiXDFBnB,-1,142,353,177,560,387,"1,105",981,"2,968"
,BiXDFBnB,1,649,"1,848",418,"1,924","1,188","4,343","3,020","19,401"
,BiXDFBnB,2,93,264,99,385,165,753,508,"2,088"
,BiXDFBnB,3,74,688,79,991,131,"2,175",556,"7,431"
,BiXDFBnB,4,37,253,58,475,81,966,276,"2,770"
,XIDA*,-1,257,774,417,"1,189",495,"1,638","2,015","9,534"
,XIDA*,1,257,"1,155",417,"1,174",495,"1,697","2,015","6,607"
,XIDA*,2,132,616,207,939,258,"1,510","1,070","6,886"
,XIDA*,3,84,667,141,"1,085",168,"1,564",694,"12,497"
,XIDA*,4,63,717,98,"1,207",132,"2,600",558,"8,600"
,BiXIDA*,-1,289,935,361,"1,266",462,"1,686","1,553","8,379"
,BiXIDA*,1,"1,912","7,979",685,"4,038","1,078","6,456","4,309","25,518"
,BiXIDA*,2,153,626,188,948,245,"1,397",817,"5,111"
,BiXIDA*,3,124,"1,764",158,"2,637",213,"4,069",794,"27,068"
,BiXIDA*,4,73,782,102,"1,216",137,"2,412",427,"6,577"
7x8,XMM,-1,167,609,615,"2,218",878,"3,383","2,625","10,599"
,XMM,1,167,605,615,"2,197",878,"3,312","2,625","10,554"
,XMM,2,167,598,615,"2,163",878,"3,383","2,625","10,728"
,XMM,3,167,606,615,"2,190",878,"3,356","2,625","10,404"
,XMM,4,167,617,615,"2,198",878,"3,376","2,625","10,563"
,XA*,-1,171,482,401,"1,324",579,"2,039","2,210","7,457"
,XA*,1,171,482,401,"1,315",579,"2,014","2,210","7,414"
,XA*,2,171,475,401,"1,282",579,"2,044","2,210","7,499"
,XA*,3,171,484,401,"1,305",579,"2,042","2,210","7,167"
,XA*,4,171,484,401,"1,326",579,"2,064","2,210","7,420"
,BiXA*,-1,198,533,490,"1,683",580,"2,073","1,810","6,314"
,BiXA*,1,713,"2,238","1,594","7,440","1,192","7,304","5,059","27,426"
,BiXA*,2,93,426,247,"1,214",302,"1,635",922,"4,724"
,BiXA*,3,113,"1,157",274,"4,498",263,"4,785",942,"14,718"
,BiXA*,4,45,511,120,"1,602",156,"2,285",492,"6,512"
,XDFBnB,-1,260,673,558,"1,690","1,193","3,494","2,744","8,858"
,XDFBnB,1,260,745,558,"1,650","1,193","3,445","2,744","8,874"
,XDFBnB,2,116,484,267,"1,352",475,"2,508","1,316","7,187"
,XDFBnB,3,118,567,177,"1,401",299,"2,638",897,"8,404"
,XDFBnB,4,89,623,138,"1,549",233,"3,068",692,"8,907"
,BiXDFBnB,-1,664,"1,203",648,"2,036",917,"3,020","2,505","8,503"
,BiXDFBnB,1,"1,906","4,890","3,356","11,610","2,442","12,290","7,990","41,330"
,BiXDFBnB,2,385,745,329,"1,446",466,"2,268","1,183","5,704"
,BiXDFBnB,3,333,"1,665",349,"4,750",397,"6,208","1,340","18,531"
,BiXDFBnB,4,300,877,229,"1,829",248,"2,954",629,"7,713"
,XIDA*,-1,497,"1,650","1,435","5,168","1,553","5,924","5,201","19,551"
,XIDA*,1,497,"1,835","1,435","5,433","1,553","6,093","5,201","18,804"
,XIDA*,2,239,"1,288",721,"4,312",758,"5,473","2,551","16,126"
,XIDA*,3,207,"1,376",481,"4,862",497,"5,910","1,735","21,764"
,XIDA*,4,117,"1,372",350,"8,584",371,"7,384","1,322","21,339"
,BiXIDA*,-1,559,"1,920","1,496","5,695","1,481","5,932","4,199","17,679"
,BiXIDA*,1,"1,567","8,082","4,749","29,313","2,952","21,151","11,260","75,247"
,BiXIDA*,2,275,"1,369",768,"4,236",758,"4,815","2,126","13,256"
,BiXIDA*,3,799,"5,396",836,"15,489",620,"13,530","1,990","46,941"
,BiXIDA*,4,120,"1,529",370,"8,015",409,"6,924","1,140","19,338"
7x9,XMM,-1,366,"1,409",681,"2,732","2,243","9,918","2,220","10,162"
,XMM,1,366,"1,395",681,"2,710","2,243","9,825","2,220","10,104"
,XMM,2,366,"1,404",681,"2,652","2,243","10,206","2,220","10,009"
,XMM,3,366,"1,404",681,"2,642","2,243","9,893","2,220","9,974"
,XMM,4,366,"1,413",681,"2,668","2,243","9,625","2,220","10,033"
,XA*,-1,266,863,615,"2,142","1,512","6,134","1,497","6,221"
,XA*,1,266,858,615,"2,129","1,512","6,109","1,497","6,193"
,XA*,2,266,862,615,"2,086","1,512","6,099","1,497","6,161"
,XA*,3,266,848,615,"2,085","1,512","6,150","1,497","6,134"
,XA*,4,266,855,615,"2,103","1,512","5,934","1,497","6,127"
,BiXA*,-1,386,"1,266",747,"2,139","2,211","8,456","2,121","9,126"
,BiXA*,1,671,"3,779","3,039","11,114","4,306","28,877","3,990","31,460"
,BiXA*,2,214,939,428,"1,570","1,182","6,952","1,112","7,268"
,BiXA*,3,175,"3,642",338,"4,277","1,012","23,919",952,"20,303"
,BiXA*,4,105,"1,741",197,"1,840",590,"10,080",582,"9,040"
,XDFBnB,-1,452,"1,215","1,137","3,921","1,828","7,250","2,526","10,156"
,XDFBnB,1,452,"1,228","1,137","3,074","1,828","7,087","2,526","9,805"
,XDFBnB,2,214,920,"1,140","3,154",979,"6,532","1,556","9,717"
